vehicle_id,brand,model,variant,colour,fuel_type,transmission,manufacture_year,registration_year,registration_location,current_km,owner_count,original_ex_showroom_price,original_onroad_price,current_market_value
CAR001,Maruti Suzuki,Swift,VXi,White,Petrol,Manual,2021,2021,Hyderabad,42000,1,620000,750000,520000
CAR002,Hyundai,i20,Sportz,Black,Petrol,Manual,2017,2017,Delhi,112470,1,870000,1030000,235000
CAR003,Kia,Sonet,HTX,White,Diesel,Manual,2018,2018,Bengaluru,94755,1,1205000,1420000,340000
CAR004,Nissan,Magnite,XV Premium,Blue,Petrol,Manual,2017,2017,Pune,105892,1,945000,1120000,235000
CAR005,Mahindra,XUV700,AX5,White,Diesel,Automatic,2024,2024,Bengaluru,21892,1,1860000,2195000,1555000
CAR006,MG,Hector,Sharp,Grey,Petrol,Automatic,2022,2022,Pune,62212,1,1845000,2180000,970000
CAR007,Hyundai,i20,Sportz,White,Petrol,Manual,2022,2022,Mumbai,54906,1,890000,1050000,555000
CAR008,Hyundai,i20,Sportz,Blue,Petrol,Manual,2023,2023,Kolkata,31774,1,820000,970000,540000
CAR009,Volkswagen,Polo,GT TSI,Blue,Petrol,Automatic,2020,2020,Chennai,76883,1,1235000,1455000,475000
CAR010,Hyundai,Creta,SX,Silver,Petrol,Manual,2020,2020,Chennai,74177,1,1305000,1535000,525000
CAR011,Tata,Punch,Accomplished,Grey,Petrol,Manual,2022,2022,Delhi,30780,1,845000,995000,500000
CAR012,Hyundai,Creta,SX,Black,Petrol,Manual,2019,2019,Chennai,74884,2,1530000,1805000,485000
CAR013,Kia,Sonet,HTX,White,Diesel,Manual,2020,2020,Hyderabad,74828,1,1230000,1450000,490000
CAR014,Honda,City,ZX,Red,Petrol,CVT,2023,2023,Chennai,49190,1,1390000,1640000,880000
CAR015,Mahindra,Thar,AX7,Blue,Diesel,Automatic,2024,2024,Chennai,21968,2,1805000,2135000,1395000
CAR016,Tata,Nexon,XZ Plus,Grey,Petrol,Manual,2020,2020,Pune,67100,1,1145000,1350000,485000
CAR017,Hyundai,Venue,SX,Black,Petrol,Manual,2023,2023,Hyderabad,36998,1,1045000,1235000,675000
CAR018,Maruti Suzuki,Baleno,Zeta,Blue,Petrol,Manual,2018,2018,Hyderabad,90594,1,760000,895000,220000
CAR019,Skoda,Kushaq,Style,Red,Petrol,Automatic,2023,2023,Mumbai,33374,3,1810000,2140000,1175000
CAR020,Maruti Suzuki,Swift,VXi,Grey,Petrol,Manual,2018,2018,Chennai,95878,2,740000,870000,185000
CAR021,Hyundai,i20,Sportz,White,Petrol,Manual,2021,2022,Delhi,50480,1,915000,1080000,495000
